Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
datsun 710,32.0,4,83.0,61.0,2003,19.0,1974-01-01,Japan
dodge colt,28.0,4,90.0,75.0,2125,14.5,1974-01-01,USA
fiat 128,24.0,4,90.0,75.0,2108,15.5,1974-01-01,Europe
fiat 124 tc,26.0,4,116.0,75.0,2246,14.0,1974-01-01,Europe
honda civic,24.0,4,120.0,97.0,2489,15.0,1974-01-01,Japan
subaru,26.0,4,108.0,93.0,2391,15.5,1974-01-01,Japan
fiat x1.9,31.0,4,79.0,67.0,2000,16.0,1974-01-01,Europe
plymouth valiant custom,19.0,6,225.0,95.0,3264,16.0,1975-01-01,USA
chevrolet nova,18.0,6,250.0,105.0,3459,16.0,1975-01-01,USA
mercury monarch,15.0,6,250.0,72.0,3432,21.0,1975-01-01,USA
ford maverick,15.0,6,250.0,72.0,3158,19.5,1975-01-01,USA
pontiac catalina,16.0,8,400.0,170.0,4668,11.5,1975-01-01,USA
chevrolet bel air,15.0,8,350.0,145.0,4440,14.0,1975-01-01,USA
plymouth grand fury,16.0,8,318.0,150.0,4498,14.5,1975-01-01,USA
ford ltd,14.0,8,351.0,148.0,4657,13.5,1975-01-01,USA
buick century,17.0,6,231.0,110.0,3907,21.0,1975-01-01,USA
chevroelt chevelle malibu,16.0,6,250.0,105.0,3897,18.5,1975-01-01,USA
amc matador,15.0,6,258.0,110.0,3730,19.0,1975-01-01,USA
plymouth fury,18.0,6,225.0,95.0,3785,19.0,1975-01-01,USA
buick skyhawk,21.0,6,231.0,110.0,3039,15.0,1975-01-01,USA
chevrolet monza 2+2,20.0,8,262.0,110.0,3221,13.5,1975-01-01,USA
ford mustang ii,13.0,8,302.0,129.0,3169,12.0,1975-01-01,USA
toyota corolla,29.0,4,97.0,75.0,2171,16.0,1975-01-01,Japan
ford pinto,23.0,4,140.0,83.0,2639,17.0,1975-01-01,USA
amc gremlin,20.0,6,232.0,100.0,2914,16.0,1975-01-01,USA
pontiac astro,23.0,4,140.0,78.0,2592,18.5,1975-01-01,USA
toyota corona,24.0,4,134.0,96.0,2702,13.5,1975-01-01,Japan
volkswagen dasher,25.0,4,90.0,71.0,2223,16.5,1975-01-01,Europe
datsun 710,24.0,4,119.0,97.0,2545,17.0,1975-01-01,Japan
ford pinto,18.0,6,171.0,97.0,2984,14.5,1975-01-01,USA
volkswagen rabbit,29.0,4,90.0,70.0,1937,14.0,1975-01-01,Europe
amc pacer,19.0,6,232.0,90.0,3211,17.0,1975-01-01,USA
audi 100ls,23.0,4,115.0,95.0,2694,15.0,1975-01-01,Europe
peugeot 504,23.0,4,120.0,88.0,2957,17.0,1975-01-01,Europe
volvo 244dl,22.0,4,121.0,98.0,2945,14.5,1975-01-01,Europe
saab 99le,25.0,4,121.0,115.0,2671,13.5,1975-01-01,Europe
honda civic cvcc,33.0,4,91.0,53.0,1795,17.5,1975-01-01,Japan
fiat 131,28.0,4,107.0,86.0,2464,15.5,1976-01-01,Europe
opel 1900,25.0,4,116.0,81.0,2220,16.9,1976-01-01,Europe
capri ii,25.0,4,140.0,92.0,2572,14.9,1976-01-01,USA
dodge colt,26.0,4,98.0,79.0,2255,17.7,1976-01-01,USA
renault 12tl,27.0,4,101.0,83.0,2202,15.3,1976-01-01,Europe
chevrolet chevelle malibu classic,17.5,8,305.0,140.0,4215,13.0,1976-01-01,USA
dodge coronet brougham,16.0,8,318.0,150.0,4190,13.0,1976-01-01,USA
amc matador,15.5,8,304.0,120.0,3962,13.9,1976-01-01,USA
ford gran torino,14.5,8,351.0,152.0,4215,12.8,1976-01-01,USA
plymouth valiant,22.0,6,225.0,100.0,3233,15.4,1976-01-01,USA
chevrolet nova,22.0,6,250.0,105.0,3353,14.5,1976-01-01,USA
